TM,STN,WD,WS,PA,PS,TA,TD,HM,PV,WW,CA_TOT,CA_MID,CT,VS,TS,TE_005,TE_01,TE_02,TE_03,IR,PM10
202203240200,136.0,32.0,0.9,1002.0,1019.8,-0.1,-2.9,81.0,4.9,4019,0.0,0.0,-,636.0,-0.3,-99.0,-99.0,-99.0,-99.0,3.0,30.0
202203240300,136.0,0.0,0.3,1002.1,1019.9,-0.4,-3.6,79.0,4.7,19,0.0,0.0,-,624.0,-0.4,-99.0,-99.0,-99.0,-99.0,3.0,30.0
202203240400,136.0,0.0,0.0,1002.2,1020.0,0.2,-3.3,77.0,4.8,19,0.0,0.0,-,696.0,-0.5,-99.0,-99.0,-99.0,-99.0,3.0,34.0
202203240500,136.0,0.0,0.0,1002.2,1020.1,-1.2,-3.7,83.0,4.6,19,3.0,3.0,Sc,463.0,-0.7,-99.0,-99.0,-99.0,-99.0,3.0,36.0
202203240600,136.0,0.0,0.0,1002.7,1020.6,-1.3,-3.6,84.0,4.7,19,0.0,0.0,-,469.0,-1.2,-99.0,-99.0,-99.0,-99.0,3.0,37.0
202203240700,136.0,0.0,0.0,1003.8,1021.7,-0.9,-3.4,83.0,4.8,19,0.0,0.0,-,509.0,-0.9,-99.0,-99.0,-99.0,-99.0,3.0,32.0
202203240800,136.0,0.0,0.3,1004.3,1022.1,0.2,-2.3,83.0,5.2,19,0.0,0.0,-,503.0,-0.4,-99.0,-99.0,-99.0,-99.0,3.0,33.0
202203240900,136.0,16.0,0.8,1004.9,1022.5,3.5,-1.6,69.0,5.4,4019,0.0,0.0,-,842.0,7.6,-99.0,-99.0,-99.0,-99.0,3.0,33.0
202203241000,136.0,14.0,0.6,1005.0,1022.5,5.5,-1.8,59.0,5.4,40,7.0,7.0,Sc,1046.0,9.7,-99.0,-99.0,-99.0,-99.0,3.0,34.0
202203241100,136.0,29.0,1.3,1005.2,1022.6,6.6,-1.3,57.0,5.6,-,9.0,9.0,Sc,1061.0,11.3,-99.0,-99.0,-99.0,-99.0,3.0,31.0
202203241200,136.0,32.0,1.9,1005.3,1022.6,8.1,-0.6,54.0,5.8,-,8.0,8.0,Sc,1098.0,13.6,-99.0,-99.0,-99.0,-99.0,3.0,26.0
202203241300,136.0,27.0,2.6,1005.4,1022.6,10.3,-0.5,47.0,5.9,40,8.0,4.0,ScCi,801.0,19.3,-99.0,-99.0,-99.0,-99.0,3.0,30.0
202203241400,136.0,32.0,2.8,1005.0,1022.1,11.1,0.1,47.0,6.2,40,5.0,0.0,Ci,945.0,21.2,-99.0,-99.0,-99.0,-99.0,3.0,29.0
202203241500,136.0,25.0,1.3,1004.2,1021.2,11.9,1.2,48.0,6.7,40,2.0,0.0,Ci,845.0,20.5,-99.0,-99.0,-99.0,-99.0,3.0,29.0
202203241600,136.0,29.0,2.1,1004.1,1021.0,13.4,2.5,48.0,7.3,40,0.0,0.0,-,762.0,17.7,-99.0,-99.0,-99.0,-99.0,3.0,43.0
202203241700,136.0,29.0,1.5,1003.3,1020.2,12.6,2.4,50.0,7.3,40,0.0,0.0,-,670.0,13.3,-99.0,-99.0,-99.0,-99.0,3.0,52.0
202203241800,136.0,36.0,0.6,1003.2,1020.1,12.3,2.4,51.0,7.3,40,0.0,0.0,-,662.0,10.1,-99.0,-99.0,-99.0,-99.0,3.0,46.0
202203241900,136.0,36.0,0.9,1003.4,1020.5,11.0,2.2,55.0,7.2,40,6.0,0.0,-,654.0,7.3,-99.0,-99.0,-99.0,-99.0,3.0,46.0
202203242000,136.0,0.0,0.4,1004.8,1022.0,8.6,2.8,67.0,7.5,40,4.0,0.0,-,533.0,5.5,-99.0,-99.0,-99.0,-99.0,3.0,54.0
202203242100,136.0,11.0,1.1,1004.8,1022.0,8.1,2.5,68.0,7.3,40,0.0,0.0,-,501.0,4.8,-99.0,-99.0,-99.0,-99.0,3.0,55.0
202203242200,136.0,14.0,0.6,1005.3,1022.6,7.1,1.9,70.0,7.0,40,9.0,0.0,-,442.0,4.5,-99.0,-99.0,-99.0,-99.0,3.0,70.0
202203242300,136.0,34.0,0.5,1006.3,1023.8,5.0,1.6,79.0,6.9,40,6.0,0.0,-,364.0,3.4,-99.0,-99.0,-99.0,-99.0,3.0,64.0
202203250000,136.0,0.0,0.3,1006.3,1023.8,5.6,2.2,79.0,7.2,4019,8.0,0.0,Ci,390.0,3.9,-99.0,-99.0,-99.0,-99.0,3.0,61.0
202203250100,136.0,0.0,0.1,1005.9,1023.4,5.0,2.0,81.0,7.1,19,0.0,0.0,-,366.0,3.7,-99.0,-99.0,-99.0,-99.0,3.0,68.0
202203250200,136.0,0.0,0.4,1004.8,1022.3,4.7,1.7,81.0,6.9,19,0.0,0.0,-,347.0,3.5,-99.0,-99.0,-99.0,-99.0,3.0,70.0
202203250300,136.0,32.0,1.3,1005.9,1023.4,4.3,1.8,84.0,7.0,19,9.0,0.0,Ci,299.0,3.5,-99.0,-99.0,-99.0,-99.0,3.0,56.0
202203250400,136.0,0.0,0.2,1005.5,1023.0,4.1,1.7,85.0,6.9,19,9.0,0.0,Ci,290.0,2.7,-99.0,-99.0,-99.0,-99.0,3.0,50.0
202203250500,136.0,14.0,1.4,1005.1,1022.6,4.0,1.5,84.0,6.8,19,9.0,0.0,Ci,312.0,2.7,-99.0,-99.0,-99.0,-99.0,3.0,47.0
202203250600,136.0,0.0,0.3,1005.1,1022.7,3.1,0.9,86.0,6.5,19,9.0,0.0,Ci,266.0,2.0,-99.0,-99.0,-99.0,-99.0,3.0,51.0
202203250700,136.0,14.0,1.1,1005.0,1022.6,3.3,1.3,87.0,6.7,19,9.0,0.0,Ci,267.0,2.5,-99.0,-99.0,-99.0,-99.0,3.0,53.0
202203250800,136.0,14.0,0.9,1005.3,1022.8,4.1,1.9,86.0,7.0,19,9.0,0.0,Ci,304.0,5.4,-99.0,-99.0,-99.0,-99.0,3.0,51.0
202203250900,136.0,16.0,0.9,1005.9,1023.3,6.3,2.5,77.0,7.3,19,9.0,0.0,Ci,408.0,10.1,-99.0,-99.0,-99.0,-99.0,3.0,53.0
202203251000,136.0,0.0,0.0,1005.8,1023.1,8.1,2.9,70.0,7.5,19,9.0,0.0,Ci,487.0,12.4,-99.0,-99.0,-99.0,-99.0,3.0,59.0
202203251100,136.0,25.0,0.5,1005.0,1022.1,10.8,3.0,59.0,7.6,4019,9.0,0.0,Ci,552.0,16.5,-99.0,-99.0,-99.0,-99.0,3.0,50.0
202203251200,136.0,29.0,1.2,1003.8,1020.7,13.2,2.4,48.0,7.3,40,9.0,0.0,Ci,739.0,21.8,-99.0,-99.0,-99.0,-99.0,3.0,47.0
202203251300,136.0,29.0,1.7,1002.6,1019.4,15.5,3.2,44.0,7.7,40,9.0,0.0,Ci,875.0,24.1,-99.0,-99.0,-99.0,-99.0,3.0,46.0
202203251400,136.0,27.0,2.1,1001.8,1018.5,16.3,3.3,42.0,7.7,40,9.0,0.0,Ci,933.0,22.2,-99.0,-99.0,-99.0,-99.0,3.0,41.0
202203251500,136.0,32.0,1.7,1000.8,1017.3,17.7,4.2,41.0,8.2,40,9.0,0.0,Ci,974.0,22.2,-99.0,-99.0,-99.0,-99.0,3.0,43.0
202203251600,136.0,23.0,2.1,999.9,1016.3,18.2,6.3,46.0,9.5,40,9.0,0.0,Ci,1267.0,19.2,-99.0,-99.0,-99.0,-99.0,3.0,37.0
202203251700,136.0,20.0,2.2,999.6,1016.1,17.6,6.7,49.0,9.8,-,0.0,0.0,As,1546.0,15.5,-99.0,-99.0,-99.0,-99.0,3.0,25.0
202203251800,136.0,20.0,0.8,999.0,1015.5,17.0,7.8,55.0,0.6,-,0.0,4.0,ScAs,1901.0,13.8,-99.0,-99.0,-99.0,-99.0,3.0,25.0
202203251900,136.0,0.0,0.4,998.3,1014.9,16.0,7.7,58.0,0.5,-,0.0,8.0,-,1756.0,12.4,-99.0,-99.0,-99.0,-99.0,3.0,25.0
202203252000,136.0,14.0,1.4,998.2,1014.8,15.8,7.5,58.0,0.4,-,0.0,9.0,-,1582.0,11.8,-99.0,-99.0,-99.0,-99.0,3.0,33.0
202203252100,136.0,11.0,1.6,996.9,1013.6,15.3,8.2,63.0,0.9,01,0.0,8.0,ScAs,1323.0,11.6,-99.0,-99.0,-99.0,-99.0,1.0,30.0
202203252200,136.0,14.0,1.2,995.9,1012.7,13.1,10.2,83.0,2.4,1901,0.0,8.0,StNs,728.0,11.6,-99.0,-99.0,-99.0,-99.0,4.0,21.0
202203252300,136.0,11.0,2.7,994.6,1011.4,12.8,9.9,83.0,2.2,1901,0.0,8.0,StNs,570.0,11.6,-99.0,-99.0,-99.0,-99.0,4.0,17.0
202203260000,136.0,14.0,4.0,992.6,1009.3,12.8,10.1,84.0,2.4,1901,0.0,8.0,StNs,712.0,11.5,-99.0,-99.0,-99.0,-99.0,4.0,15.0
202203260100,136.0,11.0,3.3,990.6,1007.4,12.0,9.1,83.0,1.6,1901,0.0,8.0,StNs,874.0,10.8,-99.0,-99.0,-99.0,-99.0,4.0,32.0
202203260200,136.0,11.0,1.7,989.3,1006.1,11.6,9.3,86.0,1.7,1901,0.0,8.0,StNs,478.0,10.8,-99.0,-99.0,-99.0,-99.0,4.0,23.0
202203260300,136.0,5.0,0.6,987.2,1004.0,11.3,9.8,91.0,2.1,1901,0.0,8.0,StNs,460.0,10.8,-99.0,-99.0,-99.0,-99.0,4.0,26.0
202203260400,136.0,36.0,0.5,985.8,1002.5,11.5,10.0,91.0,2.3,1901,0.0,8.0,StNs,476.0,10.8,-99.0,-99.0,-99.0,-99.0,4.0,23.0
202203260500,136.0,9.0,0.7,984.0,1000.7,11.7,10.2,91.0,2.4,1901,0.0,8.0,StNs,432.0,10.8,-99.0,-99.0,-99.0,-99.0,4.0,16.0
