TM,STN,WD,WS,PA,PS,TA,TD,HM,PV,WW,CA_TOT,CA_MID,CT,VS,TS,TE_005,TE_01,TE_02,TE_03,IR,PM10
202202211300,143.0,25.0,2.9,1020.4,1027.2,4.1,-11.1,32.0,2.6,-,1.0,1.0,Sc,1974.0,18.6,-99.0,-99.0,-99.0,-99.0,3.0,30.0
202202211400,143.0,23.0,1.5,1018.9,1025.7,5.4,-12.1,27.0,2.4,-,2.0,2.0,Sc,2000.0,20.6,-99.0,-99.0,-99.0,-99.0,3.0,32.0
202202211500,143.0,29.0,6.2,1018.1,1024.8,6.3,-11.3,27.0,2.6,-,4.0,4.0,Sc,2014.0,16.4,-99.0,-99.0,-99.0,-99.0,3.0,49.0
202202211600,143.0,29.0,5.9,1018.2,1024.9,6.7,-11.0,27.0,2.6,-,4.0,4.0,Sc,2000.0,14.7,-99.0,-99.0,-99.0,-99.0,3.0,48.0
202202211700,143.0,29.0,7.6,1018.3,1025.1,5.7,-9.7,32.0,2.9,-,5.0,5.0,Sc,1993.0,9.4,-99.0,-99.0,-99.0,-99.0,3.0,50.0
202202211900,143.0,29.0,5.9,1019.2,1026.0,3.8,-8.2,41.0,3.3,-,6.0,1.0,-,2000.0,3.0,-99.0,-99.0,-99.0,-99.0,3.0,36.0
202202212000,143.0,29.0,4.6,1019.3,1026.1,3.5,-8.8,40.0,3.1,-,6.0,1.0,-,2000.0,1.9,-99.0,-99.0,-99.0,-99.0,3.0,26.0
202202212100,143.0,27.0,4.5,1019.6,1026.4,3.2,-10.4,36.0,2.8,-,1.0,1.0,Sc,2000.0,1.0,-99.0,-99.0,-99.0,-99.0,3.0,24.0
202202212200,143.0,29.0,4.4,1020.0,1026.8,2.8,-11.1,35.0,2.6,-,0.0,0.0,-,2003.0,0.3,-99.0,-99.0,-99.0,-99.0,3.0,27.0
202202212300,143.0,29.0,4.9,1020.7,1027.6,1.8,-11.7,36.0,2.5,-,0.0,0.0,-,2000.0,-0.3,-99.0,-99.0,-99.0,-99.0,3.0,21.0
202202220000,143.0,32.0,4.6,1021.4,1028.3,0.4,-12.9,36.0,2.3,-,0.0,0.0,-,2000.0,-1.2,-99.0,-99.0,-99.0,-99.0,3.0,12.0
202202220100,143.0,32.0,4.4,1021.9,1028.8,-0.7,-11.4,44.0,2.6,-,0.0,0.0,-,2000.0,-1.9,-99.0,-99.0,-99.0,-99.0,3.0,19.0
