TM,STN,WD,WS,GST_WD,GST_WS,GST_TM,PA,PS,PT,PR,TA,TD,HM,PV,RN,RN_DAY,RN_JUN,RN_INT,SD_HR3,SD_DAY,SD_TOT,WC,WP,WW,CA_TOT,CA_MID,CH_MIN,CT,CT_TOP,CT_MID,CT_LOW,VS,SS,SI,ST_GD,TS,TE_005,TE_01,TE_02,TE_03,ST_SEA,WH,BF,IR,IX
201805120800,143,11,0.5,-9,-9.0,-9,1007.7,1014.0,-9,-9.0,16.7,8.6,59.0,11.2,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,10,6,8,ScAs,-9,2,5,2000,0.0,0.16,-9,18.1,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
201805120900,143,11,1.2,-9,-9.0,-9,1007.5,1013.8,0,0.2,17.3,9.4,60.0,11.8,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,10,5,9,ScAs,-9,2,5,1887,0.0,0.27,-9,19.3,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
201805121000,143,0,0.4,-9,-9.0,-9,1007.5,1013.7,-9,-9.0,18.4,10.9,62.0,13.0,0.0,0.0,0.0,-9.0,-9.0,-9.0,-9.0,60,62,01,10,6,8,ScAs,-9,2,5,1825,0.0,0.32,-9,19.7,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,4,1
201805121100,143,32,1.3,-9,-9.0,-9,1007.4,1013.6,-9,-9.0,18.3,12.2,68.0,14.2,0.0,0.0,0.0,-9.0,-9.0,-9.0,-9.0,60,62,01,10,6,8,ScAs,-9,2,5,1725,0.0,0.32,-9,19.9,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,4,1
201805121200,143,2,1.4,-9,-9.0,-9,1006.9,1013.1,7,-0.7,18.5,14.5,78.0,16.5,0.5,0.5,0.5,-9.0,-9.0,-9.0,-9.0,60,62,01,10,8,8,ScAs,-9,2,5,1550,0.0,0.49,-9,20.9,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,4,1
201805121300,143,7,0.9,-9,-9.0,-9,1006.3,1012.5,-9,-9.0,18.4,16.0,86.0,18.2,1.0,1.5,1.5,-9.0,-9.0,-9.0,-9.0,61,66,1901,10,8,6,StNs,-9,2,7,813,0.0,0.36,-9,20.6,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,4,1
201805121400,143,5,1.0,-9,-9.0,-9,1005.6,1011.8,-9,-9.0,18.4,16.1,87.0,18.3,2.5,4.0,4.0,-9.0,-9.0,-9.0,-9.0,61,66,1901,10,8,6,StNs,-9,2,7,1467,0.0,0.5,-9,21.5,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,4,1
201805121500,143,18,0.8,-9,-9.0,-9,1005.0,1011.2,7,-1.9,18.4,16.1,87.0,18.3,0.5,4.5,4.5,-9.0,-9.0,-9.0,-9.0,60,62,01,10,7,8,ScAs,-9,2,5,1550,0.0,0.24,-9,20.0,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,4,1
201805121600,143,20,1.1,-9,-9.0,-9,1004.7,1010.9,-9,-9.0,18.6,15.6,83.0,17.7,0.0,4.5,4.5,-9.0,-9.0,-9.0,-9.0,60,62,01,10,8,8,ScAs,-9,2,5,1982,0.0,0.1,-9,19.7,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,4,1
201805121700,143,20,1.2,-9,-9.0,-9,1004.3,1010.5,-9,-9.0,18.9,14.1,74.0,16.1,0.0,4.5,4.5,-9.0,-9.0,-9.0,-9.0,21,62,01,10,8,10,ScAs,-9,2,5,1997,0.0,0.22,-9,19.6,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,4,1
201805121800,143,23,2.0,-9,-9.0,-9,1003.8,1010.0,7,-1.2,19.2,12.4,65.0,14.4,0.0,4.5,4.5,-9.0,-9.0,-9.0,-9.0,60,62,01,10,7,10,ScAs,-9,2,5,1931,0.0,0.22,-9,18.4,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,4,1
201805121900,143,20,1.8,-9,-9.0,-9,1003.7,1009.9,-9,-9.0,19.2,11.4,61.0,13.5,0.0,4.5,4.5,-9.0,-9.0,-9.0,-9.0,21,62,01,10,8,10,ScAs,-9,2,5,1946,0.0,0.0,-9,17.4,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,4,1
201805122000,143,14,1.4,-9,-9.0,-9,1003.3,1009.5,-9,-9.0,18.5,12.0,66.0,14.0,-9.0,4.5,4.5,-9.0,-9.0,-9.0,-9.0,-9,-9,-,-9,5,10,-,-9,-9,-9,1988,0.0,0.0,-9,17.1,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,-9
201805122100,143,18,1.7,-9,-9.0,-9,1003.1,1009.3,7,-0.7,18.9,12.1,65.0,14.1,-9.0,4.5,4.5,-9.0,-9.0,-9.0,-9.0,-9,-9,-,10,5,11,ScAs,-9,2,5,1954,-9.0,-9.0,-9,16.9,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
201805122200,143,20,1.6,-9,-9.0,-9,1002.9,1009.1,-9,-9.0,19.7,12.2,62.0,14.2,-9.0,4.5,4.5,-9.0,-9.0,-9.0,-9.0,-9,-9,-,-9,9,10,-,-9,-9,-9,2000,-9.0,-9.0,-9,17.0,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,-9
201805122300,143,16,1.0,-9,-9.0,-9,1002.8,1009.0,-9,-9.0,17.9,14.0,78.0,16.0,1.5,6.0,6.0,-9.0,-9.0,-9.0,-9.0,61,62,1901,10,8,6,StNs,-9,2,7,586,-9.0,-9.0,-9,17.0,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,4,1
201805130000,143,5,1.0,-9,-9.0,-9,1002.0,1008.3,7,-1.0,16.5,15.3,93.0,17.4,3.0,9.0,9.0,-9.0,-9.0,-9.0,-9.0,63,66,1901,10,8,6,StNs,-9,2,7,501,-9.0,-9.0,-9,16.9,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,4,1
201805130100,143,29,0.5,-9,-9.0,-9,1001.2,1007.5,-9,-9.0,16.5,15.6,95.0,17.7,0.5,0.5,0.5,-9.0,-9.0,-9.0,-9.0,60,66,1901,10,8,7,ScAs,-9,2,5,651,-9.0,-9.0,-9,17.0,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,4,1
