TM,PM10_yanan,PM10_qingdao,PM10_chifeng,PM10_dalian
201801301500,105.0,57.0,56.0,18.0
201801301800,66.0,84.0,77.0,36.0
201801302100,34.0,89.0,65.0,63.0
201801310000,87.0,75.0,62.0,34.0
201801310300,56.0,33.0,37.0,26.0
201801310600,53.0,23.0,79.0,42.0
201801310900,73.0,32.0,53.0,53.0
201801311200,73.0,39.0,49.0,35.0
201801311500,28.0,46.0,210.0,30.0
201801311800,51.0,53.0,35.0,35.0
201801312100,58.0,33.0,9.0,59.0
201802010000,74.0,26.0,8.0,75.0
201802010300,38.0,23.0,22.0,30.0
201802010600,27.0,21.0,26.0,51.0
201802010900,33.0,23.0,94.0,73.0
201802011200,25.0,28.0,55.0,51.0
201802011500,38.5,56.0,14.0,52.0
201802011800,52.0,67.0,63.0,55.0
201802012100,65.5,57.0,102.0,45.0
201802020000,79.0,37.0,18.0,53.0
201802020300,81.0,20.0,17.0,36.0
201802020600,54.0,14.0,96.0,126.0
201802020900,27.0,13.0,34.0,92.0
201802021200,19.0,19.0,33.0,115.0
201802021500,67.0,26.0,12.0,63.0
201802021800,16.0,31.0,12.0,28.0
201802022100,17.0,26.0,10.0,39.0
201802030000,63.0,11.0,41.0,31.0
201802030300,89.0,11.0,17.0,16.0
201802030600,2.0,11.0,69.0,17.0
201802030900,22.0,11.0,17.0,20.0
201802031200,30.0,19.0,14.0,25.0
201802031500,84.0,15.0,42.0,23.0
201802031800,2.0,23.0,14.0,32.0
201802032100,9.0,39.0,11.0,39.0
201802040000,42.0,23.0,4.0,28.0
201802040300,25.0,17.0,7.0,19.0
201802040600,38.0,16.0,39.0,11.0
201802040900,28.0,21.0,24.0,16.0
201802041200,39.0,27.0,42.0,19.0
201802041500,70.0,21.0,19.0,15.0
201802041800,38.0,40.0,13.0,21.0
201802042100,6.0,55.0,10.0,27.0
201802050000,91.0,24.0,17.0,16.0
201802050300,71.0,12.0,29.0,8.0
201802050600,53.5,11.0,62.0,34.0
201802050900,36.0,9.0,66.0,47.0
201802051200,37.0,13.0,47.0,1.0
201802051500,108.0,14.0,64.0,35.0
201802051800,7.0,13.0,57.0,103.0
201802052100,14.0,17.0,55.0,32.0
201802060000,37.0,18.0,24.0,16.0
201802060300,66.0,22.0,16.0,19.0
201802060600,64.0,27.0,33.0,37.0
201802060900,52.0,25.0,16.0,27.0
201802061200,88.0,19.0,13.0,5.0
201802061500,21.0,21.0,21.0,33.0
201802061800,18.0,19.0,48.0,13.0
201802062100,13.0,23.0,10.0,17.0
201802070000,114.0,37.0,9.0,32.0
201802070300,60.0,75.0,13.0,28.0
201802070600,122.0,51.0,46.0,27.0
201802070900,57.0,49.0,59.0,10.0
201802071200,70.0,38.0,74.0,27.0
201802071500,98.0,36.0,45.0,14.0
201802071800,144.0,43.0,37.0,27.0
201802072100,536.0,68.0,45.0,70.0
201802080000,996.0,45.0,64.0,70.0
201802080300,596.0,41.0,69.0,60.0
201802080600,597.0,49.0,272.0,77.0
201802080900,507.0,52.0,115.0,31.0
201802081200,412.0,61.0,67.0,25.0
201802081500,188.0,73.0,22.0,19.0
201802081800,38.0,75.0,48.0,24.0
201802082100,75.0,75.0,61.0,62.0
201802090000,60.0,91.0,45.0,22.0
201802090300,90.0,95.0,56.0,19.0
201802090600,87.0,165.0,82.0,38.0
201802090900,67.0,187.0,58.0,48.0
201802091200,109.0,75.0,53.0,42.0
201802091500,67.0,73.0,39.0,74.0
201802091800,67.0,59.0,100.0,112.0
201802092100,45.0,55.0,50.0,145.0
201802100000,33.0,56.0,11.0,146.0
201802100300,19.0,46.0,9.0,80.0
201802100600,19.0,54.0,19.0,52.0
201802100900,22.0,57.0,85.0,62.0
201802101200,95.0,40.0,42.0,54.0
201802101500,36.0,47.0,75.0,13.0
201802101800,62.0,68.0,81.0,74.0
201802102100,23.0,79.0,48.0,91.0
201802110000,4.0,101.0,16.0,30.0
201802110300,7.0,62.0,9.0,12.0
201802110600,25.0,81.0,25.0,47.0
201802110900,54.0,64.0,68.0,51.0
201802111200,31.0,70.0,28.0,29.0
201802111500,50.0,85.0,18.0,60.0
201802111800,44.0,86.0,19.0,65.0
201802112100,55.0,86.0,19.0,35.0
201802120000,105.0,101.0,25.0,47.0
201802120300,30.0,83.0,25.0,52.0
201802120600,96.0,105.0,110.0,58.0
201802120900,162.0,86.0,40.0,85.0
201802121200,102.0,73.0,74.0,43.0
201802121500,100.0,64.0,80.0,9.0
201802121800,87.0,72.0,35.0,59.0
201802122100,7.0,64.0,39.0,49.0
201802130000,47.0,75.0,21.0,47.0
201802130300,49.0,51.0,4.0,46.0
201802130600,46.0,55.0,12.0,42.0
201802130900,44.0,64.0,99.0,48.0
201802131200,39.0,78.0,22.0,35.0
201802131500,120.0,80.0,25.0,51.0
201802131800,64.0,99.0,27.0,56.0
201802132100,63.0,135.0,11.0,68.0
201802140000,74.0,37.0,9.0,68.0
201802140300,57.0,23.0,8.0,75.0
201802140600,67.0,22.0,10.0,56.0
201802140900,77.0,31.0,14.0,100.0
201802141200,98.0,59.0,13.0,84.0
201802141500,93.0,40.0,20.0,15.0
201802141800,171.0,29.0,34.0,29.0
201802142100,163.0,27.0,23.0,24.0
201802150000,31.0,52.0,17.0,39.0
201802150300,37.0,50.0,4.0,39.0
201802150600,43.0,16.0,12.0,79.0
201802150900,77.0,20.0,34.0,30.0
201802151200,79.0,32.0,22.0,50.0
201802151500,51.0,51.0,23.0,43.0
201802151800,51.0,68.0,27.0,43.0
201802152100,78.0,112.0,15.0,68.0
201802160000,71.0,137.0,27.0,112.0
201802160300,40.0,137.0,24.0,37.0
201802160600,90.0,78.0,112.0,84.0
201802160900,157.0,20.0,34.0,57.0
201802161200,99.0,16.0,53.0,166.0
201802161500,45.0,14.0,35.0,65.0
201802161800,34.0,15.0,23.0,53.0
201802162100,52.0,17.0,20.0,52.0
201802170000,59.5,25.0,40.0,52.0
201802170300,67.0,15.0,39.0,44.0
201802170600,101.0,11.0,127.0,49.0
201802170900,117.0,12.0,41.0,46.0
201802171200,106.0,12.0,54.0,50.0
201802171500,122.0,12.0,59.0,37.0
201802171800,54.0,12.0,67.0,42.0
201802172100,87.0,14.0,71.0,18.0
