TM,PM10_yanan,PM10_tongliao,PM10_qingdao,PM10_chifeng,PM10_dalian
201802242100,134.0,10.0,48.0,93.0,39.0
201802250000,19.0,13.0,24.0,76.0,20.0
201802250300,22.0,25.0,25.0,90.0,44.0
201802250600,63.0,66.0,24.0,88.0,45.0
201802250900,112.0,152.0,30.0,90.0,39.0
201802251200,68.0,35.0,57.0,86.0,21.0
201802251500,127.0,43.0,66.0,90.0,10.0
201802251800,96.0,155.0,46.0,99.0,21.0
201802252100,165.0,73.0,42.0,98.0,0.0
201802260000,63.0,83.0,40.0,80.0,22.0
201802260300,36.0,79.0,40.0,74.0,18.0
201802260600,45.0,168.0,45.0,68.0,54.0
201802260900,21.0,174.0,51.0,68.0,28.0
201802261200,42.0,98.0,64.0,79.0,42.0
201802261500,31.0,84.0,64.0,79.0,48.0
201802261800,87.0,85.0,62.0,159.0,43.0
201802262100,64.0,32.0,55.0,112.0,26.0
201802270000,79.0,25.0,39.0,178.0,36.0
201802270300,54.0,25.0,38.0,69.0,65.0
201802270600,103.0,54.0,29.0,43.0,71.0
201802270900,102.0,26.0,25.0,20.0,242.0
201802271200,211.0,66.0,47.0,13.0,185.0
201802271500,132.0,99.0,56.0,9.0,181.0
201802271800,133.0,147.0,20.0,19.0,104.0
201802272100,100.0,56.0,12.0,27.0,56.0
201802280000,62.0,46.0,18.0,17.0,45.0
201802280300,67.0,54.0,121.0,19.0,19.0
201802280600,175.0,87.0,115.0,52.0,11.0
201802280900,78.0,83.0,78.0,57.0,28.0
201802281200,182.0,156.0,62.0,43.0,7.0
201802281500,132.0,35.0,35.0,55.0,15.0
201802281800,134.0,49.0,37.0,67.0,30.0
201802282100,170.0,11.0,42.0,125.0,30.0
201803010000,27.0,9.0,45.0,68.0,142.0
201803010300,86.0,28.0,15.0,66.0,56.0
201803010600,76.0,40.0,30.0,64.0,51.0
201803010900,75.0,89.0,40.0,59.0,104.0
201803011200,78.0,162.0,33.0,84.0,1.0
201803011500,76.0,60.0,23.0,63.0,0.0
201803011800,69.0,26.0,25.0,113.0,25.0
201803012100,127.0,23.0,44.0,410.0,22.0
201803020000,0.0,34.0,20.0,178.0,19.0
201803020300,61.0,8.0,17.0,112.0,44.0
201803020600,0.0,101.0,19.0,94.0,24.0
201803020900,72.0,104.0,11.0,266.0,28.0
201803021200,176.0,42.0,14.0,81.0,25.0
201803021500,73.0,54.0,31.0,33.0,31.0
201803021800,135.0,426.0,42.0,51.0,34.0
201803022100,58.0,136.0,51.0,33.0,105.0
201803030000,17.0,62.0,25.0,30.0,46.0
201803030300,96.0,60.0,33.0,39.0,39.0
201803030600,146.0,105.0,17.0,52.0,46.0
201803030900,102.0,20.0,36.0,63.0,37.0
201803031200,70.0,66.0,11.0,32.0,31.0
201803031500,58.0,83.0,14.0,21.0,30.0
201803031800,39.0,40.0,11.0,46.0,46.0
201803032100,44.0,64.0,19.0,40.0,54.0
201803040000,87.0,12.0,37.0,44.0,47.0
201803040300,33.0,53.0,33.0,56.0,49.0
201803040600,124.0,31.0,28.0,31.0,61.0
201803040900,56.0,8.0,33.0,33.0,69.0
201803041200,48.0,21.0,28.0,30.0,67.0
201803041500,68.0,16.0,19.0,59.0,49.0
201803041800,39.0,93.0,26.0,58.0,79.0
201803042100,4.0,45.0,37.0,51.0,32.0
201803050000,0.0,23.0,52.0,54.0,56.0
201803050300,15.0,14.0,65.0,41.0,34.0
201803050600,1.0,34.0,51.0,129.0,36.0
201803050900,5.0,0.0,76.0,47.0,52.0
201803051200,11.0,8.0,45.0,38.0,68.0
201803051500,13.0,24.0,44.0,56.0,63.0
201803051800,22.0,30.0,43.0,32.0,44.0
201803052100,0.0,1.0,21.0,26.0,41.0
201803060000,37.0,8.0,15.0,24.0,36.0
201803060300,24.0,17.0,59.0,20.0,32.0
201803060600,181.0,15.0,36.0,22.0,37.0
201803060900,90.0,0.0,34.0,73.0,78.0
201803061200,103.0,1.0,19.0,16.0,38.0
201803061500,86.0,12.0,15.0,26.0,40.0
201803061800,54.0,67.0,13.0,48.0,19.0
201803062100,33.0,33.0,14.0,84.0,80.0
201803070000,43.0,24.0,40.0,59.0,80.0
201803070300,63.0,39.0,46.0,52.0,84.0
201803070600,60.0,48.0,85.0,64.0,56.0
201803070900,105.0,58.0,49.0,99.0,42.0
201803071200,70.0,64.0,44.0,79.0,13.0
201803071500,68.0,52.0,38.0,82.0,14.0
201803071800,83.0,4.0,30.0,91.0,27.0
201803072100,95.0,14.0,24.0,108.0,15.0
201803080000,0.0,7.0,21.0,36.0,10.0
201803080300,106.0,23.0,23.0,45.0,28.0
201803080600,140.0,1.0,34.0,52.0,29.0
201803080900,127.0,0.0,36.0,104.0,75.0
201803081200,86.0,14.0,58.0,71.0,48.0
201803081500,85.0,19.0,35.0,69.0,50.0
201803081800,90.0,11.0,16.0,54.0,42.0
201803082100,138.0,60.0,14.0,41.0,22.0
201803090000,14.0,23.0,26.0,46.0,15.0
201803090300,49.0,23.0,54.0,38.0,15.0
201803090600,159.0,52.0,76.0,48.0,10.0
201803090900,97.0,34.0,75.0,82.0,36.0
201803091200,72.0,45.0,91.0,111.0,51.0
201803091500,121.0,83.0,109.0,117.0,17.0
201803091800,114.0,80.0,119.0,95.0,39.0
201803092100,123.0,50.0,112.0,84.0,33.0
201803100000,22.0,59.0,0.0,80.0,31.0
201803100300,41.0,33.0,0.0,91.0,25.0
201803100600,96.0,96.0,0.0,90.0,51.0
201803100900,104.0,33.0,0.0,112.0,99.0
201803101200,113.0,0.0,33.0,115.0,111.0
201803101500,113.0,47.0,30.0,101.0,70.0
