TM,STN,IW,IR,IX,VV,WD,WS,TA,TD,HM,PS,PT,PR,RH,ORG,PM10,LON,LAT
201801172100,54662.0,1.0,3.0,1.0,34.0,90.0,1.0,-2.4,-4.4,86.1,1024.0,2.0,0.1,0.0,cma,100.0,121.63,38.9
201801180000,54662.0,1.0,3.0,1.0,50.0,0.0,0.0,-1.7,-4.2,83.0,1026.7,2.0,2.7,0.0,cma,124.0,121.63,38.9
201801180300,54662.0,1.0,3.0,1.0,57.0,220.0,3.0,0.9,-4.3,68.2,1026.4,7.0,0.3,0.0,cma,126.0,121.63,38.9
201801180600,54662.0,1.0,3.0,2.0,72.0,290.0,2.0,2.9,-15.2,25.0,1024.3,7.0,2.0,0.0,cma,106.0,121.63,38.9
201801180900,54662.0,1.0,3.0,2.0,68.0,220.0,2.0,2.1,-11.1,36.9,1024.8,2.0,0.4,0.0,cma,102.0,121.63,38.9
201801181200,54662.0,1.0,3.0,2.0,73.0,220.0,2.0,1.0,-7.0,55.1,1025.9,2.0,1.1,0.0,cma,114.0,121.63,38.9
201801181500,54662.0,1.0,3.0,2.0,78.0,220.0,4.0,1.9,-8.5,46.0,1025.8,4.0,0.0,0.0,cma,44.0,121.63,38.9
201801181800,54662.0,1.0,3.0,2.0,70.0,200.0,2.0,1.7,-10.1,41.1,1024.6,7.0,1.2,0.0,cma,51.0,121.63,38.9
201801182100,54662.0,1.0,3.0,2.0,58.0,220.0,2.0,1.7,-4.8,62.0,1023.6,7.0,1.0,0.0,cma,31.0,121.63,38.9
201801190000,54662.0,1.0,3.0,2.0,61.0,220.0,2.0,2.2,-5.0,58.9,1023.4,7.0,0.2,0.0,cma,62.0,121.63,38.9
201801190300,54662.0,1.0,3.0,1.0,24.0,270.0,3.0,5.3,-1.4,61.9,1022.9,7.0,0.4,0.0,cma,55.0,121.63,38.9
201801190600,54662.0,1.0,3.0,1.0,18.0,270.0,2.0,6.3,-2.6,52.9,1020.4,7.0,2.5,0.0,cma,97.0,121.63,38.9
201801190900,54662.0,1.0,3.0,1.0,10.0,250.0,3.0,3.1,-0.7,76.1,1020.5,2.0,0.1,0.0,cma,75.0,121.63,38.9
201801191200,54662.0,1.0,3.0,1.0,9.0,270.0,2.0,1.9,-0.7,82.9,1021.5,2.0,0.9,0.0,cma,182.0,121.63,38.9
201801191500,54662.0,1.0,3.0,1.0,15.0,250.0,1.0,1.1,-4.1,68.2,1022.5,2.0,1.1,0.0,cma,233.0,121.63,38.9
201801191800,54662.0,1.0,3.0,1.0,35.0,340.0,4.0,1.7,-7.3,51.2,1022.4,7.0,0.1,0.0,cma,257.0,121.63,38.9
201801192100,54662.0,1.0,3.0,1.0,14.0,340.0,3.0,-1.7,-4.5,81.2,1023.1,2.0,0.6,0.0,cma,228.0,121.63,38.9
201801200000,54662.0,1.0,3.0,1.0,21.0,360.0,1.0,-2.1,-6.5,71.8,1025.4,2.0,2.2,0.0,cma,161.0,121.63,38.9
201801200300,54662.0,1.0,3.0,2.0,58.0,90.0,1.0,1.0,-12.7,35.1,1026.0,2.0,0.6,0.0,cma,84.0,121.63,38.9
201801200600,54662.0,1.0,3.0,2.0,64.0,340.0,2.0,2.2,-13.2,31.0,1024.0,7.0,1.9,0.0,cma,177.0,121.63,38.9
201801200900,54662.0,1.0,3.0,2.0,67.0,340.0,2.0,-0.2,-13.5,35.9,1025.1,2.0,1.0,0.0,cma,136.0,121.63,38.9
201801201200,54662.0,1.0,3.0,2.0,62.0,20.0,2.0,-1.6,-13.4,40.1,1025.7,2.0,0.5,0.0,cma,83.0,121.63,38.9
201801201500,54662.0,1.0,3.0,2.0,64.0,70.0,2.0,-2.8,-13.6,43.1,1026.7,2.0,1.1,0.0,cma,78.0,121.63,38.9
201801201800,54662.0,1.0,3.0,2.0,72.0,70.0,2.0,-3.4,-10.7,57.0,1026.7,4.0,0.0,0.0,cma,46.0,121.63,38.9
201801202100,54662.0,1.0,3.0,2.0,80.0,70.0,4.0,-5.1,-14.7,46.8,1026.7,7.0,0.1,0.0,cma,70.0,121.63,38.9
201801210000,54662.0,1.0,3.0,2.0,80.0,70.0,3.0,-5.1,-15.2,45.0,1027.6,2.0,0.8,0.0,cma,51.0,121.63,38.9
201801210300,54662.0,1.0,3.0,1.0,80.0,90.0,4.0,-3.4,-13.4,45.8,1027.2,7.0,0.3,0.0,cma,33.0,121.63,38.9
201801210600,54662.0,1.0,1.0,1.0,80.0,90.0,3.0,-3.5,-13.2,46.9,1024.2,7.0,3.0,1.0,cma,13.0,121.63,38.9
201801210900,54662.0,1.0,3.0,2.0,72.0,90.0,3.0,-3.9,-12.5,51.2,1023.8,7.0,0.5,0.0,cma,18.0,121.63,38.9
201801211200,54662.0,1.0,3.0,2.0,80.0,90.0,1.0,-3.2,-10.7,56.1,1023.1,7.0,0.6,0.0,cma,25.0,121.63,38.9
201801211500,54662.0,1.0,3.0,2.0,80.0,70.0,2.0,-3.3,-12.0,51.0,1022.6,7.0,0.5,0.0,cma,26.0,121.63,38.9
201801211800,54662.0,1.0,3.0,2.0,62.0,20.0,3.0,-4.6,-10.6,62.8,1021.4,7.0,1.2,0.0,cma,16.0,121.63,38.9
201801212100,54662.0,1.0,4.0,1.0,9.0,360.0,6.0,-9.8,-11.6,86.7,1020.7,7.0,0.8,0.0,cma,19.0,121.63,38.9
201801220000,54662.0,1.0,1.0,1.0,6.0,360.0,6.0,-11.4,-13.3,85.8,1021.8,2.0,1.0,1.0,cma,28.0,121.63,38.9
201801220300,54662.0,1.0,4.0,1.0,44.0,360.0,7.0,-11.2,-15.2,72.3,1022.1,2.0,0.3,0.0,cma,76.0,121.63,38.9
201801220600,54662.0,1.0,1.0,1.0,66.0,360.0,10.0,-11.3,-22.2,40.1,1021.9,7.0,0.2,1.0,cma,47.0,121.63,38.9
201801220900,54662.0,1.0,3.0,2.0,80.0,360.0,7.0,-12.1,-23.8,37.1,1023.6,2.0,1.5,0.0,cma,59.0,121.63,38.9
