TM,STN,IW,IR,IX,VV,WD,WS,TA,TD,HM,PS,PT,PR,RH,ORG,PM10,LON,LAT
201801161500,54135.0,1.0,3.0,2.0,63.0,160.0,1.0,-11.8,-15.3,75.2,1016.8,7.0,0.7,0.0,cma,25.0,122.37,43.6
201801161800,54135.0,1.0,3.0,2.0,63.0,160.0,2.0,-9.7,-14.0,70.8,1013.8,7.0,2.7,0.0,cma,105.0,122.37,43.6
201801162100,54135.0,1.0,3.0,2.0,63.0,180.0,1.0,-7.4,-13.6,61.1,1012.5,7.0,1.3,0.0,cma,23.0,122.37,43.6
201801170000,54135.0,1.0,3.0,2.0,62.0,220.0,3.0,-7.0,-14.5,55.1,1014.3,2.0,1.7,0.0,cma,44.0,122.37,43.6
201801170300,54135.0,1.0,3.0,2.0,70.0,270.0,2.0,-4.8,-15.7,42.2,1016.2,2.0,1.8,0.0,cma,69.0,122.37,43.6
201801170600,54135.0,1.0,3.0,2.0,73.0,290.0,2.0,-2.4,-17.6,30.0,1016.2,2.0,0.2,0.0,cma,54.0,122.37,43.6
201801170900,54135.0,1.0,3.0,2.0,70.0,270.0,3.0,-5.6,-20.4,30.1,1019.1,2.0,2.8,0.0,cma,82.0,122.37,43.6
201801171200,54135.0,1.0,3.0,2.0,77.0,270.0,2.0,-8.5,-20.6,37.0,1021.7,2.0,2.5,0.0,cma,71.0,122.37,43.6
201801171500,54135.0,1.0,3.0,2.0,80.0,290.0,3.0,-11.1,-20.4,46.2,1022.8,2.0,1.0,0.0,cma,59.0,122.37,43.6
201801171800,54135.0,1.0,3.0,2.0,80.0,180.0,1.0,-13.5,-21.3,51.8,1023.1,2.0,0.3,0.0,cma,111.0,122.37,43.6
201801172100,54135.0,1.0,3.0,2.0,68.0,160.0,1.0,-14.8,-22.5,51.9,1022.0,7.0,1.3,0.0,cma,35.0,122.37,43.6
201801180000,54135.0,1.0,3.0,2.0,64.0,290.0,2.0,-13.6,-23.8,41.9,1023.4,2.0,1.3,0.0,cma,6.0,122.37,43.6
201801180300,54135.0,1.0,3.0,2.0,74.0,270.0,2.0,-7.2,-21.1,32.0,1023.8,2.0,0.6,0.0,cma,0.0,122.37,43.6
201801180600,54135.0,1.0,3.0,2.0,77.0,250.0,3.0,-3.0,-20.3,24.9,1022.3,7.0,1.4,0.0,cma,26.0,122.37,43.6
201801180900,54135.0,1.0,3.0,2.0,70.0,0.0,0.0,-6.4,-20.8,30.9,1022.7,2.0,0.2,0.0,cma,37.0,122.37,43.6
201801181200,54135.0,1.0,3.0,2.0,70.0,90.0,2.0,,-19.0,44.1,1022.2,7.0,0.6,0.0,cma,35.0,122.37,43.6
201801181500,54135.0,1.0,3.0,1.0,55.0,160.0,1.0,-11.1,-13.6,81.7,1020.3,7.0,1.6,0.0,cma,44.0,122.37,43.6
201801181800,54135.0,1.0,3.0,2.0,67.0,250.0,2.0,-8.5,-17.1,49.8,1018.4,7.0,1.6,0.0,cma,93.0,122.37,43.6
201801182100,54135.0,1.0,3.0,2.0,80.0,250.0,3.0,,-19.3,43.0,1017.6,7.0,0.9,0.0,cma,63.0,122.37,43.6
201801190000,54135.0,1.0,3.0,2.0,71.0,250.0,2.0,-9.1,-18.6,46.0,1018.8,2.0,1.0,0.0,cma,163.0,122.37,43.6
201801190300,54135.0,1.0,3.0,2.0,80.0,270.0,3.0,-2.5,-18.5,28.0,1018.9,2.0,0.3,0.0,cma,45.0,122.37,43.6
201801190600,54135.0,1.0,3.0,2.0,80.0,270.0,4.0,-0.2,-19.4,21.9,1017.4,7.0,1.2,0.0,cma,29.0,122.37,43.6
201801190900,54135.0,1.0,3.0,2.0,79.0,320.0,3.0,-2.2,-19.6,25.0,1019.2,2.0,1.6,0.0,cma,113.0,122.37,43.6
201801191200,54135.0,1.0,3.0,2.0,78.0,320.0,5.0,-7.6,-19.8,36.9,1023.2,2.0,3.7,0.0,cma,28.0,122.37,43.6
201801191500,54135.0,1.0,3.0,2.0,80.0,320.0,2.0,-10.5,-20.1,45.2,1025.5,2.0,2.4,0.0,cma,54.0,122.37,43.6
201801191800,54135.0,1.0,3.0,2.0,80.0,320.0,3.0,-11.3,-22.2,40.1,1026.6,2.0,1.1,0.0,cma,55.0,122.37,43.6
201801192100,54135.0,1.0,3.0,2.0,80.0,270.0,2.0,-14.4,-21.9,52.9,1026.4,7.0,0.4,0.0,cma,19.0,122.37,43.6
201801200000,54135.0,1.0,3.0,2.0,60.0,270.0,2.0,-15.0,-24.8,43.0,1027.9,2.0,1.2,0.0,cma,5.0,122.37,43.6
201801200300,54135.0,1.0,3.0,2.0,77.0,290.0,3.0,-9.5,-27.8,21.0,1028.6,2.0,0.8,0.0,cma,20.0,122.37,43.6
201801200600,54135.0,1.0,3.0,2.0,80.0,290.0,4.0,-8.8,-28.9,17.9,1027.5,7.0,1.1,0.0,cma,16.0,122.37,43.6
201801200900,54135.0,1.0,3.0,2.0,80.0,320.0,2.0,-11.0,-29.6,20.0,1029.0,2.0,1.3,0.0,cma,36.0,122.37,43.6
201801201200,54135.0,1.0,3.0,2.0,80.0,320.0,4.0,-14.1,-29.5,25.9,1031.0,2.0,1.7,0.0,cma,4.0,122.37,43.6
201801201500,54135.0,1.0,3.0,2.0,80.0,290.0,3.0,-16.5,-29.7,31.0,1032.1,2.0,1.3,0.0,cma,3.0,122.37,43.6
201801201800,54135.0,1.0,3.0,2.0,80.0,220.0,2.0,-18.2,-29.9,35.1,1032.8,2.0,0.6,0.0,cma,25.0,122.37,43.6
201801202100,54135.0,1.0,3.0,2.0,75.0,320.0,1.0,-19.1,-29.9,37.9,1032.1,7.0,0.8,0.0,cma,22.0,122.37,43.6
201801210000,54135.0,1.0,3.0,2.0,75.0,360.0,2.0,-19.1,-29.9,37.9,1033.2,2.0,0.9,0.0,cma,29.0,122.37,43.6
201801210300,54135.0,1.0,3.0,2.0,80.0,20.0,2.0,-15.5,-29.9,28.0,1032.4,7.0,0.7,0.0,cma,32.0,122.37,43.6
201801210600,54135.0,1.0,3.0,2.0,77.0,290.0,2.0,-12.8,-28.8,24.9,1029.3,7.0,3.0,0.0,cma,5.0,122.37,43.6
