TM,STN,WD,WS,PA,PS,TA,TD,HM,PV,WW,CA_TOT,CA_MID,CT,VS,TS,IR,IX,PM10
202207120400,146.0,0.0,0.1,999.9,1006.8,25.4,23.9,92.0,29.7,19,9.0,9.0,Sc,698.0,26.3,3.0,1.0,36.0
202207120500,146.0,0.0,0.1,1000.3,1007.2,25.4,24.1,93.0,30.0,19,7.0,7.0,Sc,1079.0,26.3,3.0,2.0,23.0
202207120600,146.0,0.0,0.2,1000.3,1007.2,25.5,24.0,92.0,29.8,-,6.0,6.0,Sc,1283.0,26.6,3.0,2.0,24.0
202207120700,146.0,0.0,0.3,1000.4,1007.2,26.2,24.6,91.0,30.9,-,7.0,3.0,ScCi,1217.0,27.7,3.0,2.0,14.0
202207120800,146.0,9.0,0.8,1000.3,1007.1,27.4,24.0,82.0,29.8,-,7.0,7.0,Sc,2000.0,29.5,3.0,2.0,0.0
202207120900,146.0,20.0,1.1,1000.8,1007.6,28.7,24.2,77.0,30.2,-,8.0,8.0,Sc,2000.0,32.0,3.0,2.0,6.0
202207121000,146.0,25.0,0.6,1000.8,1007.5,29.4,24.0,73.0,29.8,-,9.0,9.0,Sc,2000.0,33.2,3.0,2.0,0.0
202207121100,146.0,27.0,1.3,1001.5,1008.2,29.5,24.5,75.0,30.7,-,9.0,9.0,Sc,2000.0,33.7,3.0,2.0,24.0
202207121200,146.0,29.0,1.7,1001.0,1007.8,30.0,24.1,71.0,30.0,-,9.0,9.0,Sc,2000.0,36.7,3.0,2.0,19.0
202207121300,146.0,25.0,1.3,1000.8,1007.5,30.7,24.5,70.0,30.7,-,9.0,9.0,Sc,2000.0,35.1,3.0,2.0,14.0
202207121400,146.0,34.0,1.0,1000.5,1007.2,29.1,24.6,77.0,30.9,-,9.0,9.0,Sc,1699.0,33.0,3.0,2.0,33.0
202207121500,146.0,32.0,1.4,1000.3,1007.1,28.9,25.0,80.0,31.7,-,9.0,9.0,Sc,1950.0,31.8,3.0,2.0,41.0
202207121600,146.0,32.0,1.6,1000.1,1006.8,29.0,24.3,76.0,30.4,-,9.0,9.0,Sc,1885.0,32.0,3.0,2.0,26.0
202207121700,146.0,34.0,0.5,999.8,1006.5,29.0,24.5,77.0,30.7,04,9.0,9.0,Sc,1971.0,30.9,4.0,1.0,17.0
202207121800,146.0,2.0,1.0,999.9,1006.7,28.3,24.9,82.0,31.5,-,9.0,9.0,Sc,1940.0,30.1,3.0,2.0,22.0
202207121900,146.0,32.0,0.8,999.8,1006.6,28.3,24.5,80.0,30.7,-,10.0,7.0,-,1891.0,29.2,3.0,,33.0
202207122000,146.0,36.0,1.0,999.9,1006.7,27.7,24.9,85.0,31.5,-,10.0,7.0,-,1427.0,28.4,3.0,2.0,51.0
202207122100,146.0,34.0,1.4,1000.4,1007.2,27.2,24.8,87.0,31.3,-,10.0,5.0,ScAs,1053.0,27.8,3.0,2.0,49.0
202207122200,146.0,20.0,1.4,1000.6,1007.4,27.7,24.9,85.0,31.5,-,10.0,9.0,-,1329.0,27.8,3.0,,43.0
202207122300,146.0,14.0,2.3,999.8,1006.6,27.1,23.3,80.0,28.6,04,10.0,7.0,ScAs,2000.0,26.8,4.0,1.0,0.0
202207130000,146.0,11.0,1.0,1000.4,1007.2,26.5,22.5,79.0,27.2,-,6.0,5.0,ScAc,2000.0,26.0,3.0,2.0,1.0
202207130100,146.0,14.0,2.0,999.8,1006.6,25.8,22.2,81.0,26.8,-,10.0,1.0,-,2000.0,25.8,3.0,,43.0
202207130200,146.0,14.0,1.7,999.8,1006.6,26.0,21.6,77.0,25.8,-,10.0,0.0,-,1999.0,25.6,3.0,,51.0
202207130300,146.0,14.0,0.9,1000.2,1007.1,25.7,21.3,77.0,25.3,-,10.0,6.0,ScAs,2000.0,25.6,3.0,2.0,25.0
202207130400,146.0,14.0,2.1,999.0,1005.9,25.2,21.2,79.0,25.2,-,10.0,5.0,ScAs,1834.0,25.1,3.0,2.0,32.0
